Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C1,10uF,C_0603_1608Metric,-0.63495,26.19375,90,bottom
C2,1uF,C_0402_1005Metric,-17.02745,12.86775,-90,bottom
C3,100nF,C_0402_1005Metric,-11.45805,12.97895,-90,bottom
C4,100nF,C_0402_1005Metric,-15.51605,12.90915,-90,bottom
C5,100nF,C_0402_1005Metric,-14.23235,12.88845,-90,bottom
C6,100nF,C_0402_1005Metric,-12.84515,12.97125,-90,bottom
ESD1,PRTR5V0U2X,SOT-143,78.98125,11.20625,180,bottom
F1,500mA,Fuse_0805_2012Metric,-6.14745,20.49505,90,bottom
J1,USB_C_Receptacle_USB2.0,HRO-TYPE-C-31-M-12-Assembly,-8.53415,36.11715,0,bottom
R1,5.1k,R_0603_1608Metric,-9.10085,12.85085,0,bottom
R2,5.1k,R_0603_1608Metric,-5.39745,23.81255,0,bottom
R3,5.1k,R_0402_1005Metric,96.43125,14.53755,0,bottom
R4,5.1k,R_0402_1005Metric,89.37755,14.53755,0,bottom
U1,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,89.88755,0.25005,180,bottom
U2,TLV73333PDBV,SOT-23-5,79.11875,6.44375,180,bottom
